street,length
Exeter Pk,287.4913708
Nutting Rd,287.2063562
Orrin St,286.5304717
Poplar Rd,286.46265
West Pl,282.7468485
Theriault Ct,280.835984
Reed Street Ter,280.3971739
George St,279.9993155
Elmwood St,279.6537637
Crawford St,276.075119
Wyman Rd,271.7792162
Dodge St,271.4604108
Clary St,271.1551177
Spring Pl,269.4301983
Sellers St,267.5535332
Blanche St,265.9734529
James St,263.7686137
Camelia Ave,262.737859
Deacon St,259.1299359
Max Ave,258.8761042
Hamlin St,254.7684536
Norfolk Ct,253.6837489
Fort Washington Pl,252.859601
Front St,251.9106074
Boardman Pl,251.3865607
Doyle Way,250.9236435
Fair Oaks St,249.0992738
Garden Ter,248.085802
James Way,247.2269667
Gordon Pl,245.4112516
Ellery Sq,244.9845442
Kenway St,244.7867979
Ash Street Pl,243.4758621
Ellsworth Pk,243.0725636
Fowler St,241.6644708
Norumbega St,239.9687958
Herbert St,237.9699519
Vail Ct,236.5508852
Craigie Cir,236.5315341
Kirkland Rd,233.8996836
Eaton St,232.8485475
Crossland St,232.3962006
Fairview Ave,232.1510028
Austin Pk,231.1384525
Bedford St,228.8259619
Eliot Cir,223.0790278
Old Dee Rd,219.455139
Belvidere Pl,219.3602106
Mifflin Pl,218.7532448
Lincoln Ln,218.3363837
Talbot St,218.3295239
Ballord Pl,217.389671
Foster Pl,216.779868
Waterman Rd,213.442411
Hawthorne Pk,209.0291747
Wellington Ln,208.2365196
Arcadia St,206.9580537
Locust Ter,206.4054704
Trowbridge Pl,203.9047313
McLean Pl,203.693736
Kassul Pk,202.2035647
Dunstable Rd,201.6678139
Frost Ter,201.1482
Lawn Ct,200.8748055
Chetwynd Rd,200.6100284
Nichols Pl,200.2063022
Lincoln Way,199.3957963
Dinsmore Ct,196.9698643
Central Sq,195.9445894
Newell Ter,195.3556421
Blair Pl,194.7175087
Sparks Pl,194.5651819
Appleton Rd,194.1874066
Emmons Pl,193.417292
Adams Ter,192.5441652
Macarelli Way,191.6938445
Mildred Hamilton Pl,190.5892649
Earhart St,186.0211163
Wyman St,183.0807554
West Bellevue Ave,182.3354004
Garden Ct,181.695582
Sibley Ct,181.060669
Harwell Dr,180.9117847
Wilson Ave,180.5699602
Fiske Pl,179.8038614
Columbia Ter,176.4676951
Stevens Ct,175.6752789
Linehan Ct,173.7289167
Walden Mews,173.2521317
Westley Ave,173.1798783
King Pl,171.5357565
Walker Ct,171.4708025
Camden Pl,168.4336994
Stone Ct,168.3175158
Pearl Street Pl,168.2638265
Fallon Pl,167.8828023
Washburn Ter,167.4103889
Lamont Ave,166.8844198
Cypress St,166.5653857
Ashburton Pl,165.7306056
Percy Pl,163.3668916
Highland Pk,163.0416764
Sycamore St,162.8125038
Ross St,159.6165596
Doane St,159.3716944
Chapman Pl,156.8487657
Potter Pk,156.8225164
Gilmore St,154.5783936
Harrington Ter,153.2783142
Hilliard Pl,153.1955546
Trowbridge Ter,152.9270627
Riverside Pl,151.7677894
Cottage Ct,150.8274809
Follen Ln,150.1548844
Aberdeen Way,149.8430796
Dana Pl,149.2937658
Stinson Ct,146.3047299
Normandy Terrace Ext,144.2558112
Turner Ct,143.8857703
Brattle Cir,142.9028232
Pemberton Ter,142.8376701
Fuller Pl,142.3077213
Porter Pk,141.3382627
St Gerard Ter,141.287544
Normandy Ter,141.1193535
Rockingham Pl,140.8622483
Rollins Ct,140.8240113
Amory Pl,140.7160937
Gold Star Road Ct,139.8929619
Bellis Ct,139.585746
Norfolk Ter,138.1277336
Olive Pl,138.028337
Marvin Pl,136.017241
Allston Ct,134.7621271
Holworthy Ter,134.2625268
Lamson Pl,133.309563
Drummond Pl,132.8179054
Hooper Pl,130.4927425
Sedgewick Rd,130.47962
Morrison Ct,129.3895249
Hillside Pl,127.4578553
Baldwin Street Ct,126.9223896
Porter Cir,126.7436773
Bailey Pl,125.7264648
Mt Auburn Pl,125.5560895
Chauncy Ln,124.7730941
Emmett Pl,121.9805382
Holden Green,120.3912281
Garden Ln,120.2574779
Frisbie Pl,119.937234
Willard Street Ct,118.0902825
Ellery Pl,116.9016698
Fayette Pk,116.4032723
Aberdeen Ct,115.9177367
Gore Street Pl,115.5784937
Dudley Ct,115.0400148
Canal Pk,112.8030569
Washington Ct,111.9037247
Cottage Row,109.0692147
Renz Way,108.9138416
Livermore Pl,107.7016397
Pemberton Ct,107.4715121
Broadway Ct,107.0614123
Magazine Ct,106.8930236
Putnam Ct,106.7672277
Rindge Ter,105.3360876
Thomas Pk,105.1939843
Marcella Ct,104.8497902
Citizens Pl,104.7385898
Fourth Street Pl,104.5810929
Linwood Ct,103.542711
Soden Pl,102.9648925
Cogswell Ct,101.0075413
Belmont Ct,100.433119
Norton Pl,98.39712558
Channing Cir,97.89240062
Boyle Ter,96.07863862
Lincoln Pl,95.26809382
Bancroft St,94.82613142
Winter Street Pl,94.06692299
Athens Ter,93.37803444
Langdon Sq,90.53529656
Walker Ter,89.66461119
Rice Cir,89.2620955
Harold Pl,88.52744038
Gold Star Road Pl,86.06928488
Reed Street Ct,86.06524792
Corliss Pl,82.64873381
Pond Pl,82.05792621
Cresto Ter,81.77820309
Cherry Ct,80.56313086
Jay Street Pl,77.77490598
Robinson Pl,77.27411792
Farrell Way,72.02433616
Glenn Ter,67.56000296
Hudson Pl,56.73867288
Gibson Ter,46.33296559
